backend_id,mae,rmse,mape,smape,coverage_80,avg_width_80,wnc_80,coverage_90,avg_width_90,wnc_90,backtest_horizon
stats_ets,13.382172,16.981075,2.803138,2.795869,0.916667,70.49241,6.191959,0.916667,90.47516,4.824375,12
ml_ridge,36.079182,51.659282,8.366429,7.693627,0.916667,181.239729,2.408336,1.0,232.616441,2.047003,12
moving_average,58.095238,76.286539,11.569287,11.973611,1.0,436.269632,1.09145,1.0,559.940635,0.850388,12
stats_arima,66.241675,91.228839,12.462033,13.792313,1.0,439.554005,1.083295,1.0,564.156041,0.844034,12
stream_ewm,67.280561,92.129244,12.683001,14.037941,1.0,470.220489,1.012646,1.0,603.51567,0.788988,12
naive,76.0,102.976535,14.251338,16.120845,1.0,436.269632,1.09145,1.0,559.940635,0.850388,12
