backend_id,mae,rmse,mape,smape,coverage_80,avg_width_80,wnc_80,coverage_90,avg_width_90,wnc_90,backtest_horizon
ml_ridge,9.803314,11.061204,0.374506,0.374609,0.9,45.271658,52.023601,0.933333,58.104986,42.034674,30
stats_ets,38.41937,40.284487,1.465624,1.477508,0.966667,142.753774,17.720397,1.0,183.220727,14.28268,30
moving_average,50.441571,54.254188,1.921794,1.943351,1.0,153.860607,17.008142,1.0,197.476055,13.251647,30
naive,66.083,69.037147,2.519541,2.554589,0.733333,153.860607,12.472637,1.0,197.476055,13.251647,30
stats_arima,74.688926,77.686044,2.848018,2.892489,0.333333,135.388808,6.442884,0.7,173.767986,10.541747,30
stream_ewm,89.756742,96.955159,3.419842,3.489361,0.133333,137.260853,2.542005,0.433333,176.170706,6.43684,30
