backend_id,mae,rmse,mape,smape,coverage_80,avg_width_80,wnc_80,coverage_90,avg_width_90,wnc_90,backtest_horizon
stats_ets,1325.070689,1691.224248,7.211908,7.493997,1.0,10260.435339,1.776549,1.0,13168.999758,1.384172,12
ml_ridge,1706.528926,2073.438587,9.164544,8.976373,1.0,12559.140384,1.451386,1.0,16119.327417,1.130827,12
seasonal_naive,1959.5,2290.827252,10.832418,11.667141,1.0,10746.499621,1.696196,1.0,13792.85052,1.321566,12
moving_average,3567.904762,4479.059687,17.854834,19.742866,1.0,26157.614268,0.696859,1.0,33572.612133,0.542948,12
naive,4599.0,5865.37383,22.268844,26.596471,0.916667,26157.614268,0.638787,1.0,33572.612133,0.542948,12
stream_ewm,5123.309501,6107.26662,25.693011,30.533922,0.916667,25988.408279,0.642946,1.0,33355.440683,0.546483,12
